date,year,month,gdp_growth_yoy_pct,cpi_yoy_pct,cpi_mom_pct,usd_vnd,policy_rate_pct,on_rate_pct,vn_10y_yield_pct,credit_growth_ytd_pct,m2_growth_ytd_pct,regime,source_status
2010-01-31,2010,1,6.56,8.86,0.86,19359.0,9.0,8.64,10.43,1.5,2.09,normal,MIXED_INTERPOLATED
2010-02-28,2010,2,6.3,9.65,0.87,19449.0,9.0,8.73,10.37,3.67,5.24,normal,MIXED_INTERPOLATED
2010-03-31,2010,3,6.35,9.4,0.95,19401.0,9.0,7.87,9.48,4.34,7.09,normal,MIXED_INTERPOLATED
2010-04-30,2010,4,6.75,9.05,0.82,19463.0,9.0,8.05,10.04,6.45,9.44,normal,MIXED_INTERPOLATED
2010-05-31,2010,5,6.59,8.88,0.96,19467.0,9.0,7.57,9.71,7.97,11.36,normal,MIXED_INTERPOLATED
2010-06-30,2010,6,6.66,9.52,0.63,19534.0,9.0,8.2,9.91,8.96,14.06,normal,MIXED_INTERPOLATED
2010-07-31,2010,7,6.23,9.14,0.58,19545.0,9.0,8.17,9.79,10.74,16.4,normal,MIXED_INTERPOLATED
2010-08-31,2010,8,6.86,9.14,0.58,19526.0,9.0,7.5,10.16,11.93,18.53,normal,MIXED_INTERPOLATED
2010-09-30,2010,9,6.18,9.15,0.52,19564.0,9.0,8.62,9.82,13.8,21.21,normal,MIXED_INTERPOLATED
2010-10-31,2010,10,6.39,9.31,0.64,19625.0,9.0,8.19,9.79,15.36,22.87,normal,MIXED_INTERPOLATED
2010-11-30,2010,11,6.29,9.48,0.72,19551.0,9.0,8.21,10.11,16.69,25.79,normal,MIXED_INTERPOLATED
2010-12-31,2010,12,6.1,8.8,0.74,19670.0,9.0,7.57,9.77,18.28,28.11,normal,MIXED_INTERPOLATED
2011-01-31,2011,1,6.36,18.77,1.61,20551.0,14.0,13.47,11.95,0.75,0.75,normal,MIXED_INTERPOLATED
2011-02-28,2011,2,6.58,18.47,1.67,20510.0,14.0,13.52,12.22,2.36,2.38,normal,MIXED_INTERPOLATED
2011-03-31,2011,3,6.22,18.88,1.67,20505.0,14.0,13.45,11.46,3.77,2.35,normal,MIXED_INTERPOLATED
2011-04-30,2011,4,6.33,18.54,1.78,20565.0,14.0,13.58,11.64,4.44,4.14,normal,MIXED_INTERPOLATED
2011-05-31,2011,5,6.37,18.51,1.65,20626.0,14.0,13.11,11.94,6.13,4.47,normal,MIXED_INTERPOLATED
2011-06-30,2011,6,6.21,18.54,1.47,20674.0,14.0,12.94,12.15,7.11,6.12,normal,MIXED_INTERPOLATED
2011-07-31,2011,7,6.14,18.16,1.36,20640.0,14.0,13.97,12.0,8.51,6.79,normal,MIXED_INTERPOLATED
2011-08-31,2011,8,6.67,18.91,1.58,20603.0,14.0,13.21,12.31,9.49,8.82,normal,MIXED_INTERPOLATED
2011-09-30,2011,9,6.1,18.7,1.4,20628.0,14.0,13.53,11.62,10.89,8.75,normal,MIXED_INTERPOLATED
2011-10-31,2011,10,5.98,18.51,1.46,20689.0,14.0,13.14,12.05,11.57,10.12,normal,MIXED_INTERPOLATED
2011-11-30,2011,11,6.29,18.55,1.43,20724.0,14.0,12.89,11.71,13.14,10.98,normal,MIXED_INTERPOLATED
2011-12-31,2011,12,6.53,19.0,1.46,20724.0,14.0,13.45,11.52,15.17,11.88,normal,MIXED_INTERPOLATED
2012-01-31,2012,1,5.58,9.21,0.84,20781.0,9.0,7.69,9.42,0.89,1.42,normal,MIXED_INTERPOLATED
2012-02-29,2012,2,5.41,8.47,1.01,20777.0,9.0,8.13,9.23,1.49,3.67,normal,MIXED_INTERPOLATED
2012-03-31,2012,3,5.43,8.36,0.87,20660.0,9.0,8.5,8.63,2.18,4.95,normal,MIXED_INTERPOLATED
2012-04-30,2012,4,5.37,9.17,0.93,20794.0,9.0,8.52,9.22,2.94,6.44,normal,MIXED_INTERPOLATED
2012-05-31,2012,5,5.08,9.06,0.88,20844.0,9.0,8.03,9.63,3.53,8.4,normal,MIXED_INTERPOLATED
2012-06-30,2012,6,5.63,9.06,0.72,20822.0,9.0,8.23,9.56,4.57,10.31,normal,MIXED_INTERPOLATED
2012-07-31,2012,7,5.27,8.88,0.76,20794.0,9.0,8.25,9.33,5.54,11.83,normal,MIXED_INTERPOLATED
2012-08-31,2012,8,5.58,9.01,0.58,20916.0,9.0,8.28,9.89,5.46,13.49,normal,MIXED_INTERPOLATED
2012-09-30,2012,9,5.25,8.67,0.54,20970.0,9.0,8.06,9.1,7.0,15.38,normal,MIXED_INTERPOLATED
2012-10-31,2012,10,5.25,8.97,0.74,20971.0,9.0,8.15,9.71,7.68,16.77,normal,MIXED_INTERPOLATED
2012-11-30,2012,11,5.04,9.44,0.61,21030.0,9.0,8.16,9.34,8.06,18.36,normal,MIXED_INTERPOLATED
2012-12-31,2012,12,5.23,9.43,0.85,20992.0,9.0,8.29,9.39,8.51,20.02,normal,MIXED_INTERPOLATED
2013-01-31,2013,1,5.44,6.43,0.44,20924.0,7.0,6.72,8.29,0.49,0.95,normal,MIXED_INTERPOLATED
2013-02-28,2013,2,5.78,6.85,0.69,20953.0,7.0,6.16,8.69,1.55,3.04,normal,MIXED_INTERPOLATED
2013-03-31,2013,3,5.58,6.68,0.83,20904.0,7.0,6.62,7.88,3.47,4.52,normal,MIXED_INTERPOLATED
2013-04-30,2013,4,4.95,6.93,0.61,21070.0,7.0,6.09,8.16,4.63,6.19,normal,MIXED_INTERPOLATED
2013-05-31,2013,5,5.16,6.4,0.52,21047.0,7.0,6.79,8.4,4.87,7.36,normal,MIXED_INTERPOLATED
2013-06-30,2013,6,5.41,6.04,0.48,21048.0,7.0,6.3,8.37,5.98,9.31,normal,MIXED_INTERPOLATED
2013-07-31,2013,7,5.36,6.72,0.52,21122.0,7.0,6.79,7.95,7.97,10.59,normal,MIXED_INTERPOLATED
2013-08-31,2013,8,5.94,6.5,0.37,21202.0,7.0,6.41,8.02,8.56,12.27,normal,MIXED_INTERPOLATED
2013-09-30,2013,9,5.28,6.39,0.38,21159.0,7.0,5.89,8.01,9.75,13.37,normal,MIXED_INTERPOLATED
2013-10-31,2013,10,5.32,7.62,0.51,21211.0,7.0,6.37,8.2,10.37,14.99,normal,MIXED_INTERPOLATED
2013-11-30,2013,11,5.05,6.4,0.43,21228.0,7.0,6.47,8.54,11.51,16.66,normal,MIXED_INTERPOLATED
2013-12-31,2013,12,5.62,6.88,0.49,21186.0,7.0,6.3,7.96,12.3,18.22,normal,MIXED_INTERPOLATED
2014-01-31,2014,1,6.11,4.12,0.42,21115.0,6.5,5.92,6.85,0.63,1.16,normal,MIXED_INTERPOLATED
2014-02-28,2014,2,5.94,3.98,0.66,21191.0,6.5,5.87,6.74,2.33,2.71,normal,MIXED_INTERPOLATED
2014-03-31,2014,3,6.02,4.19,0.59,21185.0,6.5,5.58,6.56,3.32,4.32,normal,MIXED_INTERPOLATED
2014-04-30,2014,4,6.35,4.03,0.52,21257.0,6.5,5.79,6.86,4.59,5.79,normal,MIXED_INTERPOLATED
2014-05-31,2014,5,6.08,4.25,0.46,21215.0,6.5,5.42,6.77,6.25,6.7,normal,MIXED_INTERPOLATED
2014-06-30,2014,6,5.84,3.9,0.38,21243.0,6.5,5.91,6.58,7.19,8.39,normal,MIXED_INTERPOLATED
2014-07-31,2014,7,6.18,4.19,0.32,21290.0,6.5,5.92,6.74,7.83,10.22,normal,MIXED_INTERPOLATED
2014-08-31,2014,8,6.16,3.86,0.18,21254.0,6.5,5.23,6.98,9.79,11.87,normal,MIXED_INTERPOLATED
2014-09-30,2014,9,6.37,4.17,0.22,21369.0,6.5,6.34,6.47,10.3,12.83,normal,MIXED_INTERPOLATED
2014-10-31,2014,10,6.09,4.46,0.17,21291.0,6.5,5.49,7.18,12.31,14.17,normal,MIXED_INTERPOLATED
2014-11-30,2014,11,5.75,3.9,0.22,21343.0,6.5,5.7,6.63,12.79,15.53,normal,MIXED_INTERPOLATED
2014-12-31,2014,12,5.87,4.42,0.45,21428.0,6.5,6.09,6.55,13.99,16.76,normal,MIXED_INTERPOLATED
2015-01-31,2015,1,6.51,1.08,0.26,22407.0,6.5,5.94,6.06,1.57,1.26,normal,MIXED_INTERPOLATED
2015-02-28,2015,2,6.78,0.59,0.09,22361.0,6.5,5.61,6.39,3.07,2.65,normal,MIXED_INTERPOLATED
2015-03-31,2015,3,6.83,0.27,0.21,22411.0,6.5,6.02,6.56,4.3,3.94,normal,MIXED_INTERPOLATED
2015-04-30,2015,4,6.3,0.56,0.25,22422.0,6.5,5.0,6.51,5.51,5.33,normal,MIXED_INTERPOLATED
2015-05-31,2015,5,7.0,0.88,0.06,22506.0,6.5,4.96,5.97,7.18,6.51,normal,MIXED_INTERPOLATED
2015-06-30,2015,6,6.6,0.4,0.02,22420.0,6.5,5.67,6.28,9.17,7.97,normal,MIXED_INTERPOLATED
2015-07-31,2015,7,6.6,0.76,-0.02,22462.0,6.5,5.96,6.15,10.41,9.89,normal,MIXED_INTERPOLATED
2015-08-31,2015,8,6.4,0.91,0.02,22502.0,6.5,6.55,5.95,11.56,10.93,normal,MIXED_INTERPOLATED
2015-09-30,2015,9,6.93,0.66,-0.01,22607.0,6.5,5.68,5.99,13.02,12.26,normal,MIXED_INTERPOLATED
2015-10-31,2015,10,6.29,0.52,-0.11,22550.0,6.5,6.04,6.27,13.81,13.21,normal,MIXED_INTERPOLATED
2015-11-30,2015,11,6.57,0.46,-0.1,22602.0,6.5,5.53,6.2,15.71,15.05,normal,MIXED_INTERPOLATED
2015-12-31,2015,12,7.2,0.94,0.14,22674.0,6.5,6.0,6.0,17.22,16.37,normal,MIXED_INTERPOLATED
2016-01-31,2016,1,5.66,3.07,0.21,22519.0,6.5,5.34,5.68,1.62,1.43,normal,MIXED_INTERPOLATED
2016-02-29,2016,2,6.21,2.96,0.3,22489.0,6.5,5.29,6.29,3.15,2.82,normal,MIXED_INTERPOLATED
2016-03-31,2016,3,6.17,2.81,0.42,22591.0,6.5,6.09,5.95,4.56,4.5,normal,MIXED_INTERPOLATED
2016-04-30,2016,4,5.97,2.51,0.25,22542.0,6.5,5.52,5.78,6.06,5.87,normal,MIXED_INTERPOLATED
2016-05-31,2016,5,6.19,2.82,0.31,22662.0,6.5,5.72,6.1,8.25,7.43,normal,MIXED_INTERPOLATED
